State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Cities,Greenfield,1,0,0,0,0,0,,0,1,0,17809
California,Cities,Hawthorne,2,0,2,0,1,1,0,2,2,2,87305
California,Cities,Hayward,4,0,0,0,0,0,1,1,1,1,161588
California,Cities,Huntington Beach,4,3,1,0,0,0,1,1,2,4,201843
California,Cities,Huntington Park,1,0,1,0,0,0,1,1,0,0,58181
California,Cities,Imperial,0,1,0,0,0,0,0,0,,1,18090
California,Cities,Imperial Beach,2,2,0,0,0,0,1,0,1,2,27583
California,Cities,Irvine,4,1,2,0,0,0,0,2,4,1,292673
California,Cities,Laguna Woods,0,1,0,0,0,0,0,0,0,1,16043
California,Cities,Lake Forest,0,1,0,0,0,0,0,0,1,0,86691
California,Cities,Lancaster,7,1,1,0,0,0,1,2,5,1,159335
California,Cities,Lemon Grove,1,0,0,0,0,0,1,0,0,0,27175
California,Cities,Livermore,1,0,1,0,0,0,1,0,1,0,91418
California,Cities,Long Beach,18,1,4,0,0,0,6,4,7,6,467974
California,Cities,Los Angeles,118,81,70,2,0,14,58,77,85,64,4015546
California,Cities,Malibu,1,0,0,0,0,0,0,0,1,0,12794
California,Cities,Marina,1,0,0,0,0,0,0,0,0,1,22911
California,Cities,Martinez,0,1,1,0,0,0,0,1,1,0,38692
California,Cities,Marysville,0,1,0,0,0,0,1,0,,0,12572
California,Cities,Mission Viejo,0,2,0,0,0,0,1,0,1,0,95453
California,Cities,Modesto,3,0,0,0,0,0,1,2,0,0,216542
California,Cities,Montebello,0,1,0,0,0,0,0,1,0,0,62650
California,Cities,Monterey,0,0,1,0,0,0,0,0,0,1,28337
California,Cities,Monterey Park,1,0,0,0,0,0,0,0,1,0,60424
California,Cities,Moreno Valley,1,0,0,0,0,0,1,0,0,0,210979
California,Cities,National City,1,0,0,0,0,0,0,0,0,1,61791
California,Cities,Novato,2,0,0,0,0,0,0,0,2,0,56134
California,Cities,Oakdale,1,0,0,0,0,0,0,0,0,1,23808
California,Cities,Oakland,5,3,5,0,0,0,2,3,5,3,434036
California,Cities,Oceanside,3,1,4,0,0,0,1,4,3,0,177129
California,Cities,Ontario,1,0,0,0,0,0,0,0,1,0,183322
