"","State","AgencyType","Agency","RaceEthnAnc","Religion","SexualOrientation","Disability","Gender","GenderID","Q1","Q2","Q3","Q4","Population","TotalCrimes","PopulationT","TotalCrimesT"
"48","California","Cities","Chico",2,0,0,0,0,0,0,2,0,0,95826,2,-0.563541407055018,-0.744838731561351
"49","California","Cities","Chino",2,1,0,0,0,0,0,0,1,2,93348,3,-0.564280118823892,-0.626936372550773
"50","California","Cities","Chula Vista",6,2,0,0,1,0,4,1,2,2,275230,9,-0.534583083246758,-0.393049215227122
"51","California","Cities","Citrus Heights",1,0,1,0,0,0,0,1,0,1,88496,2,-0.565788111819862,-0.744838731561351
"52","California","Cities","Claremont",1,0,1,0,0,0,0,0,1,1,36681,2,-0.591259241153261,-0.744838731561351
"53","California","Cities","Clearlake",2,1,0,0,0,0,2,0,1,0,15400,3,-0.617481519156057,-0.626936372550773
"54","California","Cities","Clovis",1,0,0,0,0,0,0,0,0,1,114170,1,-0.558627614089012,-1
"55","California","Cities","Coachella",0,0,1,0,0,0,0,1,0,0,46485,1,-0.584297944130773,-1
"56","California","Cities","Compton",1,0,0,0,0,0,1,0,0,0,96638,1,-0.563303699317009,-1
"57","California","Cities","Concord",2,0,0,0,0,0,1,0,1,0,130615,2,-0.554881630041561,-0.744838731561351
"58","California","Cities","Coronado",0,0,1,0,0,1,0,0,2,0,21115,2,-0.607813645342817,-0.744838731561351
"59","California","Cities","Costa Mesa",3,0,0,0,0,0,1,0,2,0,114047,3,-0.558657722737733,-0.626936372550773
"60","California","Cities","Cupertino",1,0,0,0,0,0,0,0,0,1,60357,1,-0.576718147804954,-1
"61","California","Cities","Cypress",1,0,0,0,0,0,0,0,0,1,49085,1,-0.582710119504753,-1
"62","California","Cities","Davis",0,1,0,0,0,0,0,1,0,0,69767,1,-0.572555376981724,-1
"63","California","Cities","Delano",2,0,0,0,0,0,1,0,1,0,53002,2,-0.580477495299132,-0.744838731561351
"64","California","Cities","Dublin",1,0,0,0,0,0,0,0,1,0,66072,1,-0.574115308600131,-1
"65","California","Cities","El Cajon",1,0,0,0,0,0,0,1,0,0,103686,1,-0.561324494555002,-1
"66","California","Cities","El Cerrito",1,0,0,0,0,0,0,0,0,1,25857,1,-0.601687644181296,-1
"67","California","Cities","Elk Grove",0,1,0,0,0,0,0,0,0,1,175492,1,-0.546747912832379,-1
"68","California","Cities","El Monte",3,0,0,0,0,0,2,1,0,0,115830,3,-0.558224569146332,-0.626936372550773
"69","California","Cities","El Segundo",1,0,0,0,0,0,0,0,0,1,16727,1,-0.614934836951619,-1
"70","California","Cities","Emeryville",1,0,0,0,0,0,0,1,0,0,12380,1,-0.624257786013126,-1
"71","California","Cities","Escondido",3,1,0,0,0,0,2,0,0,2,153215,4,-0.550471622832554,-0.554784736033923
"72","California","Cities","Eureka",1,0,1,0,0,0,1,1,0,0,26973,2,-0.60041777029588,-0.744838731561351
"73","California","Cities","Fairfield",1,0,1,0,0,0,2,0,0,0,118383,2,-0.557616393142168,-0.744838731561351
"74","California","Cities","Folsom",0,0,1,0,0,0,0,0,0,1,79927,1,-0.568676555720917,-1
"75","California","Cities","Fontana",1,0,0,0,0,0,0,0,1,0,215883,1,-0.541114382992332,-1
"76","California","Cities","Fountain Valley",1,0,0,0,0,0,0,1,0,0,55858,1,-0.578956229055389,-1
"77","California","Cities","Fremont",2,2,0,0,0,0,0,1,1,2,240887,4,-0.538157419056738,-0.554784736033923
"78","California","Cities","Fullerton",1,0,1,0,0,0,1,0,1,0,140194,2,-0.552921565071537,-0.744838731561351
"79","California","Cities","Galt",0,0,1,0,0,0,1,0,0,0,26796,1,-0.600615452646695,-1
"80","California","Cities","Garden Grove",1,0,1,0,0,1,0,2,0,1,172832,3,-0.547165608195096,-0.626936372550773
"81","California","Cities","Hawthorne",2,0,2,0,1,1,0,2,2,2,87305,6,-0.566171552339089,-0.466966492500393
"82","California","Cities","Hayward",4,0,0,0,0,0,1,1,1,1,161588,4,-0.549009102071788,-0.554784736033923
"83","California","Cities","Huntington Beach",4,3,1,0,0,0,1,1,2,4,201843,8,-0.542936845564637,-0.413225159077106
"84","California","Cities","Huntington Park",1,0,1,0,0,0,1,1,0,0,58181,2,-0.577777919767786,-0.744838731561351
"85","California","Cities","Imperial Beach",2,2,0,0,0,0,1,0,1,2,27583,4,-0.599746780111045,-0.554784736033923
"86","California","Cities","Irvine",4,1,2,0,0,0,0,2,4,1,292673,7,-0.532943128536979,-0.437354231717505
"87","California","Cities","Laguna Woods",0,1,0,0,0,0,0,0,0,1,16043,1,-0.616219902350243,-1
"88","California","Cities","Lake Forest",0,1,0,0,0,0,0,0,1,0,86691,1,-0.566371379990207,-1
"89","California","Cities","Lancaster",7,1,1,0,0,0,1,2,5,1,159335,9,-0.549394668742144,-0.393049215227122
"90","California","Cities","Lemon Grove",1,0,0,0,0,0,1,0,0,0,27175,1,-0.600193824199688,-1
"91","California","Cities","Livermore",1,0,1,0,0,0,1,0,1,0,91418,2,-0.564869875206627,-0.744838731561351
"92","California","Cities","Long Beach",18,1,4,0,0,0,6,4,7,6,467974,23,-0.520581719728716,-0.263794459448064
"93","California","Cities","Los Angeles",118,81,70,2,0,14,58,77,85,64,4015546,285,-0.467533537757517,-0.0905088265933253
"94","California","Cities","Malibu",1,0,0,0,0,0,0,0,1,0,12794,1,-0.623231911726331,-1
"95","California","Cities","Marina",1,0,0,0,0,0,0,0,0,1,22911,1,-0.605337805135554,-1
"96","California","Cities","Martinez",0,1,1,0,0,0,0,1,1,0,38692,2,-0.589683452666694,-0.744838731561351
"97","California","Cities","Mission Viejo",0,2,0,0,0,0,1,0,1,0,95453,2,-0.563651310237057,-0.744838731561351
"98","California","Cities","Modesto",3,0,0,0,0,0,1,2,0,0,216542,3,-0.541031925344429,-0.626936372550773
"99","California","Cities","Montebello",0,1,0,0,0,0,0,1,0,0,62650,1,-0.575643952164365,-1
"100","California","Cities","Monterey",0,0,1,0,0,0,0,0,0,1,28337,1,-0.598938604662389,-1
"101","California","Cities","Monterey Park",1,0,0,0,0,0,0,0,1,0,60424,1,-0.576686156806239,-1
"102","California","Cities","Moreno Valley",1,0,0,0,0,0,1,0,0,0,210979,1,-0.541736426349525,-1
"103","California","Cities","National City",1,0,0,0,0,0,0,0,0,1,61791,1,-0.576041455173536,-1
"104","California","Cities","Novato",2,0,0,0,0,0,0,0,2,0,56134,2,-0.578813564798829,-0.744838731561351
"105","California","Cities","Oakdale",1,0,0,0,0,0,0,0,0,1,23808,1,-0.604176535229628,-1
"106","California","Cities","Oakland",5,3,5,0,0,0,2,3,5,3,434036,13,-0.522545019074038,-0.336181704859076
"107","California","Cities","Oceanside",3,1,4,0,0,0,1,4,3,0,177129,8,-0.546494148864893,-0.413225159077106
"108","California","Cities","Ontario",1,0,0,0,0,0,0,0,1,0,183322,1,-0.545555917317599,-1
"109","California","Cities","Orange",3,0,0,0,0,0,0,0,1,2,139830,3,-0.552993443426475,-0.626936372550773
"110","California","Cities","Oroville",2,0,0,0,0,0,1,1,0,0,19268,2,-0.610601923572457,-0.744838731561351
"111","California","Cities","Oxnard",1,0,0,0,0,0,0,0,1,0,211349,1,-0.541688967088255,-1
"112","California","Cities","Pacifica",1,0,0,0,0,0,0,0,1,0,38938,1,-0.589496618152995,-1
"113","California","Cities","Palmdale",3,0,0,0,0,0,0,0,2,1,157138,3,-0.549776204782649,-0.626936372550773
"114","California","Cities","Palm Springs",4,2,5,0,0,0,3,4,1,3,48846,11,-0.582852347186086,-0.36091763992171
"115","California","Cities","Palo Alto",1,2,2,0,0,0,1,0,1,2,66938,5,-0.573741630635848,-0.504588964513974
"116","California","Cities","Parlier",0,0,1,0,0,0,0,0,1,0,15384,1,-0.617513613627048,-1
"117","California","Cities","Pasadena",2,2,0,0,0,0,0,1,2,1,141913,4,-0.552584744502034,-0.554784736033923
"118","California","Cities","Paso Robles",1,0,0,0,0,0,1,0,0,0,32528,1,-0.594822149338496,-1
"119","California","Cities","Petaluma",3,0,1,0,0,0,0,1,3,0,62425,4,-0.575747515370022,-0.554784736033923
"120","California","Cities","Pico Rivera",0,0,1,0,0,0,0,0,1,0,62880,1,-0.575538490419229,-1
"121","California","Cities","Pittsburg",0,1,1,1,0,0,0,1,0,2,73637,3,-0.571011948035468,-0.626936372550773
"122","California","Cities","Placentia",0,1,0,0,0,0,1,0,0,0,51756,1,-0.581168363218285,-1
"123","California","Cities","Pleasant Hill",1,0,0,0,0,0,0,0,0,1,35125,1,-0.592542060485149,-1
"124","California","Cities","Pomona",4,0,1,0,0,0,1,3,1,0,152776,5,-0.550550603764718,-0.504588964513974
"125","California","Cities","Poway",1,1,0,0,0,0,0,1,0,1,49928,2,-0.582214197318004,-0.744838731561351
"126","California","Cities","Rancho Cordova",1,0,0,0,0,0,1,0,0,0,75869,1,-0.57016004755036,-1
"127","California","Cities","Rancho Santa Margarita",1,0,0,0,1,0,0,0,0,2,48377,2,-0.583133582918627,-0.744838731561351
"128","California","Cities","Red Bluff",2,0,0,0,0,0,0,1,1,0,14308,2,-0.619756447322467,-0.744838731561351
"129","California","Cities","Redlands",0,0,2,0,0,0,0,0,2,0,71941,2,-0.571677601136141,-0.744838731561351
"130","California","Cities","Redondo Beach",0,1,0,0,0,0,0,0,1,0,67473,1,-0.573513306828699,-1
"131","California","Cities","Redwood City",0,0,0,0,0,1,0,0,1,0,87427,1,-0.566132022928742,-1
"132","California","Cities","Rialto",1,0,0,0,0,0,0,0,0,1,103965,1,-0.561249079985534,-1
"133","California","Cities","Richmond",7,0,2,0,0,0,3,2,0,4,110988,9,-0.559417694044303,-0.393049215227122
"134","California","Cities","Ridgecrest",0,0,1,0,0,0,0,0,0,1,29101,1,-0.59814242120262,-1
"135","California","Cities","Riverside",10,1,4,0,0,0,8,3,4,0,333260,15,-0.529493752829614,-0.316345175041542
"136","California","Cities","Rohnert Park",1,0,0,0,0,0,0,0,1,0,44131,1,-0.58581813458203,-1
"137","California","Cities","Rosemead",1,0,0,0,0,0,1,0,0,0,54489,1,-0.579674983218534,-1
"138","California","Cities","Roseville",5,0,0,1,0,0,1,3,1,1,141744,6,-0.5526176679324,-0.466966492500393
"139","California","Cities","Sacramento",1,1,1,1,0,2,1,0,4,1,513934,6,-0.518148962030388,-0.466966492500393
"140","California","Cities","Salinas",0,0,1,0,0,0,0,1,0,0,156943,1,-0.549810339194402,-1
"141","California","Cities","San Bernardino",4,0,4,0,0,0,1,0,2,5,216715,8,-0.541010322309883,-0.413225159077106
"142","California","Cities","San Bruno",1,0,0,0,0,0,0,0,1,0,43297,1,-0.58637724638185,-1
"143","California","Cities","San Clemente",1,2,2,0,0,0,1,0,3,1,65018,5,-0.574577108826395,-0.504588964513974
"144","California","Cities","San Diego",8,11,9,1,0,1,9,8,9,4,1441737,30,-0.492102643262875,-0.235626138913496
"145","California","Cities","San Francisco",35,5,22,0,0,2,17,17,24,6,886007,64,-0.504229374396373,-0.170755032094299
"146","California","Cities","San Gabriel",2,0,0,0,0,0,0,1,1,0,40422,2,-0.588395184992706,-0.744838731561351
"147","California","Cities","San Jose",13,7,10,1,0,2,9,8,7,9,1040008,33,-0.500205158273488,-0.226272395962103
"148","California","Cities","San Leandro",0,0,2,0,0,0,1,1,0,0,90297,2,-0.565218455414427,-0.744838731561351
"149","California","Cities","San Luis Obispo",6,2,1,0,0,1,1,2,2,5,47735,10,-0.583523234985589,-0.375837404288444
"150","California","Cities","San Marcos",1,1,0,0,0,0,1,0,0,1,98598,2,-0.562738456075839,-0.744838731561351
"151","California","Cities","San Mateo",7,0,0,0,0,0,1,0,1,5,106020,7,-0.560700069597127,-0.437354231717505
"152","California","Cities","San Rafael",5,0,1,0,0,0,1,1,2,2,58819,6,-0.577462940726666,-0.466966492500393
"153","California","Cities","San Ramon",2,0,1,0,0,0,1,1,1,0,76387,3,-0.569966101952688,-0.626936372550773
"154","California","Cities","Santa Ana",3,6,2,0,0,0,2,4,3,2,333664,11,-0.529461678856673,-0.36091763992171
"155","California","Cities","Santa Clarita",1,1,0,0,0,0,0,1,1,0,218103,2,-0.540837651206702,-0.744838731561351
"156","California","Cities","Santa Cruz",1,0,1,0,0,0,1,1,0,0,65263,2,-0.574469066731216,-0.744838731561351
"157","California","Cities","Santa Monica",1,2,1,0,0,0,1,0,2,1,91621,4,-0.564807231577001,-0.554784736033923
"158","California","Cities","Santa Rosa",2,0,2,0,1,0,2,1,2,0,177884,5,-0.546377939082823,-0.504588964513974
"159","California","Cities","Seaside",1,1,0,0,0,0,1,1,0,0,34036,2,-0.59347588159014,-0.744838731561351
"160","California","Cities","South El Monte",1,0,1,0,0,0,1,1,0,0,20852,2,-0.60819467611083,-0.744838731561351
"161","California","Cities","South Lake Tahoe",0,1,0,0,0,0,0,1,0,0,22116,1,-0.606407649348295,-1
"162","California","Cities","Stockton",1,2,1,0,0,0,0,1,1,2,313604,4,-0.531105648506819,-0.554784736033923
"163","California","Cities","Sunnyvale",2,4,0,0,0,0,1,2,0,3,154859,6,-0.550177945822442,-0.466966492500393
"164","California","Cities","Temecula",1,0,0,0,0,0,0,0,0,1,116630,1,-0.558032491118953,-1
"165","California","Cities","Thousand Oaks",0,0,1,0,0,0,0,1,0,0,127811,1,-0.5554840437372,-1
"166","California","Cities","Torrance",1,0,1,0,0,0,0,0,2,0,145183,2,-0.551955686100261,-0.744838731561351
"167","California","Cities","Tracy",0,1,0,0,0,0,1,0,0,0,92895,1,-0.564417385989763,-1
"168","California","Cities","Turlock",1,1,1,0,0,0,2,0,0,1,74120,3,-0.570825320884002,-0.626936372550773
"169","California","Cities","Union City",6,0,0,0,0,0,5,1,0,0,75202,6,-0.570411838555592,-0.466966492500393
"170","California","Cities","Upland",2,0,0,0,0,0,0,0,0,2,77398,2,-0.569591517529743,-0.744838731561351
"171","California","Cities","Vacaville",5,0,0,0,0,0,0,3,0,2,101147,5,-0.562020749381871,-0.504588964513974
"172","California","Cities","Ventura",2,1,1,0,0,0,1,1,1,1,111596,4,-0.559264906622784,-0.554784736033923
"173","California","Cities","Walnut Creek",2,2,1,0,0,0,1,2,1,1,70546,5,-0.572237586449681,-0.504588964513974
"174","California","Cities","West Hollywood",0,1,0,0,0,0,1,0,0,0,37173,1,-0.590865481880756,-1
"175","California","Cities","Windsor",1,0,0,0,0,0,1,0,0,0,27981,1,-0.599317333294102,-1
"176","California","Cities","Yorba Linda",1,0,1,0,0,0,0,0,2,0,68225,2,-0.573195566744639,-0.744838731561351
"177","California","Cities","Yuba City",0,0,0,0,0,1,0,0,1,0,67164,1,-0.573644946913231,-1
"178","California","Universities and Colleges","Chico",1,0,0,0,0,0,0,1,0,0,19754,1,-0.609841882718466,-1
"179","California","Universities and Colleges","East Bay",1,0,0,0,0,0,1,0,0,0,19613,1,-0.610060348626853,-1
"180","California","Universities and Colleges","Northridge",1,0,0,0,0,0,0,0,0,1,44639,1,-0.585482983378237,-1
"181","California","Universities and Colleges","Humboldt State University",7,1,0,0,0,0,1,4,0,3,9262,8,-0.633380605921811,-0.413225159077106
"182","California","Universities and Colleges","San Diego State University",1,0,0,0,0,0,0,1,0,0,37748,1,-0.590412172425195,-1
"183","California","Universities and Colleges","San Francisco State University",1,0,0,0,0,0,0,0,1,0,33506,1,-0.593941772622332,-1
"184","California","Universities and Colleges","Davis",4,0,0,0,0,0,0,2,1,1,39783,4,-0.588864161116131,-0.554784736033923
"185","California","Universities and Colleges","Irvine",1,0,0,0,0,0,0,0,0,1,37170,1,-0.590867866234392,-1
"186","California","Universities and Colleges","San Diego",0,1,1,0,0,0,1,1,0,0,37744,2,-0.590415300776475,-0.744838731561351
"187","Colorado","Cities","Aurora",2,0,0,0,0,0,0,1,1,0,380600,2,-0.525988877612061,-0.744838731561351
"188","Colorado","Cities","Boulder",4,1,3,0,0,0,2,2,0,4,108519,8,-0.560047303887948,-0.413225159077106
"189","Colorado","Cities","Brighton",1,1,0,0,0,0,0,0,0,2,42267,2,-0.58708357315768,-0.744838731561351
"190","Colorado","Cities","Broomfield",1,0,0,0,0,0,0,0,1,0,70798,1,-0.572135572094368,-1
"191","Colorado","Cities","Canon City",1,1,0,0,0,0,1,1,0,0,16793,2,-0.614813769659464,-0.744838731561351
"192","Colorado","Cities","Carbondale",1,0,0,0,0,0,0,0,0,1,6941,1,-0.642582505795899,-1
"193","Colorado","Cities","Castle Rock",1,0,0,0,0,0,0,0,0,1,67208,1,-0.573626163263867,-1
"194","Colorado","Cities","Centennial",0,2,0,0,0,0,0,1,0,1,112129,2,-0.559131683579416,-0.744838731561351
"195","Colorado","Cities","Colorado Springs",6,2,4,0,0,0,1,3,5,3,479648,12,-0.519940764131864,-0.347814729955646
"196","Colorado","Cities","Commerce City",2,0,0,0,0,0,1,0,1,0,60198,2,-0.576794216226821,-0.744838731561351
"197","Colorado","Cities","Denver",40,15,26,2,0,2,11,39,25,10,728941,85,-0.509173017469779,-0.151355064180959
"198","Colorado","Cities","Durango",1,1,0,0,0,0,0,1,0,1,19271,2,-0.610597170468732,-0.744838731561351
"199","Colorado","Cities","Edgewater",1,0,0,0,0,0,1,0,0,0,5363,1,-0.6509229891881,-1
"200","Colorado","Cities","Englewood",2,0,0,0,0,0,1,1,0,0,35273,2,-0.592417501355003,-0.744838731561351
"201","Colorado","Cities","Evans",3,0,0,0,0,0,1,0,2,0,21585,3,-0.607144964369073,-0.626936372550773
"202","Colorado","Cities","Fort Collins",4,2,1,0,0,0,2,2,0,2,170889,7,-0.54747500292306,-0.437354231717505
"203","Colorado","Cities","Frisco",1,0,0,0,0,0,0,1,0,0,3220,1,-0.667739713433982,-1
"204","Colorado","Cities","Glenwood Springs",4,0,0,0,0,0,2,0,1,1,10027,4,-0.630872285757953,-0.554784736033923
"205","Colorado","Cities","Grand Junction",2,1,0,0,0,0,1,1,1,0,63949,3,-0.575053580824577,-0.626936372550773
"206","Colorado","Cities","Greenwood Village",1,0,1,0,0,0,1,1,0,0,16046,2,-0.616214141338461,-0.744838731561351
"207","Colorado","Cities","Hudson",0,0,1,0,0,0,1,0,0,0,1806,1,-0.687328120874501,-1
"208","Colorado","Cities","Lone Tree",1,0,0,0,0,0,0,0,1,0,15129,1,-0.618029903263536,-1
"209","Colorado","Cities","Longmont",2,0,1,1,0,0,2,1,1,0,97928,4,-0.562930339340038,-0.554784736033923
"210","Colorado","Cities","Loveland",1,0,0,0,0,0,1,0,0,0,78856,1,-0.569060266373151,-1
"211","Colorado","Cities","Manitou Springs",0,1,0,0,0,0,0,0,1,0,5388,1,-0.650771643153695,-1
"212","Colorado","Cities","Parker",2,1,0,0,0,0,2,1,0,0,57050,3,-0.578345309297591,-0.626936372550773
"213","Colorado","Cities","Pueblo",1,1,0,0,0,0,1,0,0,1,112381,2,-0.559068927650488,-0.744838731561351
"214","Colorado","Cities","Rifle",2,0,0,0,0,0,0,1,1,0,9782,2,-0.631653078449235,-0.744838731561351
"215","Colorado","Cities","Silt",1,0,0,0,0,0,1,0,0,0,3215,1,-0.667791598887767,-1
"216","Colorado","Cities","Sterling",1,0,0,0,0,0,0,0,1,0,13573,1,-0.621392786711539,-1
"217","Colorado","Cities","Thornton",3,1,2,0,0,0,0,2,1,2,142168,6,-0.552535144978075,-0.466966492500393
"218","Colorado","Cities","Timnath",1,0,0,0,0,0,0,1,0,0,5027,1,-0.653032139179146,-1
"219","Colorado","Cities","Westminster",3,0,1,0,0,0,0,0,3,1,114392,4,-0.558573357761725,-0.554784736033923
"220","Colorado","Universities and Colleges","Colorado State University, Fort Collins",2,1,0,0,0,0,1,0,1,1,37676,3,-0.590468536073883,-0.626936372550773
"221","Colorado","Universities and Colleges","Fort Lewis College",1,0,0,0,0,0,0,1,0,0,3730,1,-0.662848928242271,-1
"222","Colorado","Universities and Colleges","University of Colorado, Boulder",7,0,0,0,0,0,2,0,3,2,39302,7,-0.589222425400127,-0.437354231717505
"223","Colorado","Universities and Colleges","University of Northern Colorado",0,0,1,0,0,0,0,0,1,0,15825,1,-0.616641591799952,-1
"224","Connecticut","Cities","Bloomfield",0,1,0,0,0,0,0,0,1,0,21406,1,-0.607397813116891,-1
"225","Connecticut","Cities","Bridgeport",1,1,1,0,0,0,1,2,0,0,144908,3,-0.552008012802557,-0.626936372550773
"226","Connecticut","Cities","Bristol",1,0,0,0,0,0,1,0,0,0,59977,1,-0.576900297680649,-1
"227","Connecticut","Cities","Cheshire",0,1,0,0,0,0,0,1,0,0,29167,1,-0.598074673586487,-1
"228","Connecticut","Cities","Danbury",3,0,0,0,0,0,1,1,1,0,85167,3,-0.566873861954521,-0.626936372550773
"229","Connecticut","Cities","Derby",1,0,0,0,0,0,0,0,1,0,12468,1,-0.624036741308276,-1
"230","Connecticut","Cities","East Hartford",1,1,1,0,0,0,0,1,1,1,49842,3,-0.582264385341884,-0.626936372550773
"231","Connecticut","Cities","East Lyme",1,0,0,0,0,0,0,0,0,1,18588,1,-0.611699839871259,-1
"232","Connecticut","Cities","Enfield",2,0,0,0,0,0,0,0,1,1,44443,2,-0.585611816896972,-0.744838731561351
"233","Connecticut","Cities","Farmington",1,0,0,0,0,0,1,0,0,0,25525,1,-0.602076550082674,-1
"234","Connecticut","Cities","Glastonbury",2,0,1,0,0,0,2,1,0,0,34497,3,-0.593076797196632,-0.626936372550773
"235","Connecticut","Cities","Madison",1,0,0,0,0,0,0,0,0,1,18087,1,-0.612536077438269,-1
"236","Connecticut","Cities","Manchester",4,0,1,0,0,0,1,1,2,1,57630,5,-0.578052879643753,-0.504588964513974
"237","Connecticut","Cities","Middletown",1,0,0,0,0,0,0,0,1,0,45963,1,-0.584627959810049,-1
"238","Connecticut","Cities","New Haven",5,2,2,0,0,0,2,5,1,1,130494,9,-0.554907344297961,-0.393049215227122
"239","Connecticut","Cities","New London",1,0,0,0,0,0,0,1,0,0,26856,1,-0.600548288464152,-1
"240","Connecticut","Cities","New Milford",1,0,0,0,0,0,0,1,0,0,26835,1,-0.60057177799003,-1
"241","Connecticut","Cities","Norwalk",1,0,0,0,0,0,0,0,0,1,89440,1,-0.565488022275035,-1
