,State,DI,RaceCrime100K,ReligionCrime100K,SexOrientCrime100K,DisabilityCrime100K,GenderCrime100K,GenderIDCrime100K,TotalCrime100K
0,AK,0.648565859417595,0.9544703984641207,0.0,0.5454116562652118,0.0,0.0,0.0,1.4998820547293326
1,AZ,0.7069792793288391,1.9995799483800745,0.5033907562355433,0.4194922968629527,0.04194922968629527,0.027966153124196848,0.04194922968629527,3.034327613975358
2,AR,0.5495468964285897,0.2656462309448638,0.0,0.03320577886810797,0.0,0.0,0.0,0.2988520098129718
3,CA,0.7849636874901866,1.3252998244255945,0.5260732127490909,0.5943615624809441,0.025291981382167834,0.017704386967517482,0.08346353856115385,2.5721945065664684
4,CO,0.6154187798660908,2.0264252784256374,0.6235154702848115,0.8140340862051705,0.12123911922204668,0.0,0.08659937087289048,3.671813325010556
5,CT,0.6358761756984133,1.3311354807506717,0.44371182691689054,0.30505188100536224,0.0,0.02773198918230566,0.0,2.10763117785523
6,DE,0.6431958780355547,1.010154068698558,0.40406162747942315,0.7071078480889905,0.0,0.0,0.10101540686985579,2.2223389511368272
7,DC,0.7151394068327968,17.257756926669035,1.1601853396080024,9.42650588431502,0.1450231674510003,0.2900463349020006,3.915625521177008,32.195143174122066
8,FL,0.7133581497850797,0.2228599835260043,0.16714498764450322,0.1253587407333774,0.0,0.0,0.0,0.515363711903885
9,GA,0.6844481430354796,0.7094907835280139,0.07468324037136988,0.05601243027852741,0.03734162018568494,0.028006215139263706,0.028006215139263706,0.9335405046421236
10,HI,0.7693053845636957,2.0614717121415875,0.13743144747610583,0.6184415136424762,0.0,0.0,0.0,2.8173446732601697
11,ID,0.45064861110412546,0.9787364077981368,0.05437424487767426,0.21749697951069705,0.05437424487767426,0.0,0.0,1.3049818770641823
12,IL,0.6783535270470835,0.26536568796678994,0.0702438585794444,0.13268284398339497,0.0,0.0,0.046829239052962934,0.5151216295825922
13,IN,0.47197044667484833,0.6926505940289392,0.1915842068590683,0.2063214535405351,0.0,0.0,0.029474493362933583,1.1200307477914762
14,IA,0.3657020439631079,0.18806601994941652,0.0,0.12537734663294434,0.0,0.0,0.0,0.3134433665823608
15,KS,0.5252472586295784,1.2253733985050446,0.8509537489618364,0.2382670497093142,0.10211444987542037,0.03403814995847346,0.06807629991694691,2.5188230969270355
16,KY,0.38694368641132193,2.5300521368287705,0.2663212775609232,0.4216753561381284,0.0221934397967436,0.0443868795934872,0.0887737591869744,3.373402849105027
17,LA,0.6207149074818333,0.19322605279751606,0.17175649137556984,0.1502869299536236,0.04293912284389246,0.0,0.0,0.558208596970602
18,ME,0.2029161699413664,0.7340209151919574,0.1468041830383915,0.5138146406343702,0.0,0.0,0.0,1.3946397388647191
19,MD,0.7178213653119767,0.1133195105115178,0.0647540060065816,0.1133195105115178,0.0161885015016454,0.0,0.0,0.3075815285312626
20,MA,0.5867746615992786,3.0299077499777023,1.4367168204119622,1.3086925492861439,0.014224919013979823,0.028449838027959647,0.09957443309785877,5.917566309815607
21,MI,0.4856242862009177,3.1059811372673973,0.5060863833886174,0.4366235464529249,0.08930936177446192,0.14884893629076984,0.019846524838769312,4.30669589001294
22,MN,0.45319462231708685,1.0339097876910062,0.35047789413254443,0.29790621001266276,0.01752389470662722,0.05257168411988167,0.07009557882650888,1.822485049489231
23,MS,0.5792358292903279,0.2026151537899671,0.03376919229832785,0.03376919229832785,0.2026151537899671,0.0,0.0,0.4727686921765899
24,MO,0.44332401580891134,0.8448535340791982,0.21121338351979954,0.2599549335628302,0.01624718334767689,0.0,0.01624718334767689,1.3485162178571817
25,MT,0.3329628676756503,1.4757084553482902,0.8300860061334132,0.18446355691853628,0.09223177845926814,0.09223177845926814,0.27669533537780444,2.95141691069658
26,NE,0.4893414555398967,1.9372889374683917,0.15294386348434671,0.15294386348434671,0.10196257565623114,0.0,0.0,2.345139240093316
27,NV,0.7577163488703024,0.8696733313706632,0.3221012338409864,0.12884049353639454,0.032210123384098635,0.0,0.06442024676819727,1.41724542890034
28,NH,0.2762108658066358,0.5807500241374228,0.3629687650858893,0.2177812590515336,0.0,0.0,0.0,1.1615000482748457
29,NJ,0.7297659897690304,2.7128879618180397,2.691357104978214,0.6997528472943356,0.010765428419912857,0.05382714209956428,0.08612342735930285,6.254713911969369
30,NM,0.7430571753706023,1.4167503336447036,0.37780008897192097,0.37780008897192097,0.04722501112149012,0.0,0.14167503336447035,2.361250556074506
31,NY,0.7245564217905907,0.8118309912421752,1.7672174626430277,0.3613637948821877,0.004950188970988873,0.0,0.07920302353582197,3.024565461274202
32,NC,0.6330406726884539,1.2644419385504209,0.4023224349933157,0.2873731678523684,0.06705373916555261,0.0,0.0,2.0211912805616574
33,ND,0.3600458501955174,1.796959031901157,0.12835421656436835,0.38506264969310505,0.0,0.0,0.0,2.31037589815863
34,OH,0.43591602776338056,1.8305941091481568,0.2542491818261329,0.5084983636522658,0.466123500014577,0.05932480909276434,0.19492437273336854,3.313714336467265
35,OK,0.640300746586173,0.3535931249373319,0.12628325890618997,0.20205321424990397,0.025256651781237996,0.0,0.0,0.7071862498746639
36,OR,0.5417563482405207,2.73762076211586,0.684405190528965,0.6372048325614501,0.047200357967514824,0.047200357967514824,0.14160107390254448,4.295232575043848
37,PA,0.4962425246479475,0.21533989094572667,0.06921639351826928,0.030762841563675238,0.0,0.0,0.0,0.3153191260276712
38,RI,0.589574831312921,0.3645048793534412,0.45563109919180156,0.7290097587068824,0.0,0.0,0.0,1.5491457372521253
39,SC,0.5858592643903197,0.7033413598909821,0.3907451999394345,0.13676081997880207,0.019537259996971725,0.05861177999091517,0.019537259996971725,1.328533679794077
40,SD,0.39136024094071864,1.4661648623440366,0.3383457374640085,0.4511276499520113,0.0,0.0,0.0,2.2556382497600564
41,TN,0.5140916025492892,1.316771911952816,0.1736402521256461,0.14470021010470507,0.014470021010470508,0.028940042020941015,0.014470021010470508,1.692992458225049
42,TX,0.7563386382587396,1.029318243070415,0.15096667565032756,0.24360531752666492,0.06519015539445963,0.02401742567164302,0.06175909458422491,1.5748569118977351
43,UT,0.5056332273456299,0.36679121266065456,0.09169780316516364,0.09169780316516364,0.0,0.0,0.0,0.5501868189909819
44,VT,0.22662423304108648,2.7990427273872336,0.6220094949749408,1.3995213636936168,0.1555023737437352,0.0,0.1555023737437352,5.131578333543261
45,VA,0.6529818134684305,1.1817327747676418,0.3128116168502581,0.3128116168502581,0.034756846316695345,0.01158561543889845,0.034756846316695345,1.8884553165404474
46,WA,0.6219178788456787,4.295755080184616,0.9863365138792473,1.5054609948683246,0.1038248961978155,0.1038248961978155,0.22062790442035793,7.2158302857481775
47,WV,0.21794948144365023,1.0035033416661276,0.33450111388870923,0.16725055694435462,0.11150037129623641,0.055750185648118206,0.055750185648118206,1.7282557550916642
48,WI,0.42824411162599907,0.6617215143310216,0.30540992969124076,0.0848360915809002,0.06786887326472016,0.03393443663236008,0.10180330989708025,1.255574155397323
49,WY,0.39443907815024903,0.6934199646009108,0.0,0.1733549911502277,0.0,0.0,0.0,0.8667749557511385
